param MaxActivity :=
EU 2030 MAT_SUP_COB 380614.258
EU 2030 MAT_SUP_COP 4231589.97
EU 2030 MAT_SUP_DYS 5467.105
EU 2030 MAT_SUP_LIT 258076.41
EU 2030 MAT_SUP_NEO 55640.5216
EU 2030 MAT_SUP_NIC 1537995.65
EU 2030 MAT_SUP_PRA 7937.8647
EU 2030 MAT_SUP_TER 1103.4055
EU 2040 MAT_SUP_COB 1268295.23
EU 2040 MAT_SUP_COP 8489599.91
EU 2040 MAT_SUP_DYS 12041.485
EU 2040 MAT_SUP_LIT 907266.81
EU 2040 MAT_SUP_NEO 97107.511
EU 2040 MAT_SUP_NIC 4487995.88
EU 2040 MAT_SUP_PRA 15683.9411
EU 2040 MAT_SUP_TER 2581.6515
EU 2050 MAT_SUP_COB 1499555.88
EU 2050 MAT_SUP_COP 9310582.92
EU 2050 MAT_SUP_DYS 14216.345
EU 2050 MAT_SUP_LIT 1041428.56
EU 2050 MAT_SUP_NEO 110114.703
EU 2050 MAT_SUP_NIC 5372585.57
EU 2050 MAT_SUP_PRA 17509.4415
EU 2050 MAT_SUP_TER 2945.5495
;
